"R2-296;BP GAS MARKETING LIMITED;Chertsey Road, Sunbury-On-Thames;;Middlesex, TW16 7BP (Reino Unido);Extranjero;;N;GB365678995;;19/03/2013;;Baja"
"R2-297;COMPAGNIE NATIONALE DU RHÔNE;2 Rue André Bonin;;69316 Lyon Cedex 04 (Francia);Extranjero;;INT FR;FR59957520901;;;www.cnr.tm.fr;"
"R2-298;DANSKE COMMODITIES A/S;Skt. Clemenstraede 9, 1;;8000 Aarhus C (Dinamarca);Extranjero;;INT FR;DK28113951;;11/05/2020;www.danskecommodities.com;Baja"
"R2-299;EDP COMERCIAL-COMERCIALIZAÇAO DE ENERGÍA S.A.;Praça Marquês de Pombal nº 13;;1250-162 Lisboa (Portugal);Extranjero;;N;503504564;;18/03/2013;;Baja"
"R2-300;EDP-ENERGÍAS DE PORTUGAL, S.A.;Praça Marquês de Pombal nº 13;;1250-162 Lisboa (Portugal);Extranjero;;;PT500697256;;20/02/2015;;Baja"
"R2-301;ELECTRABEL, S.A.;Boulevard du Régent 8;;1000 Bruselas, (Bélgica);Extranjero;;;BE0403170701;;17/08/2016;www.electrabel.com;Baja"
"R2-302;UNIPER GLOBAL COMMODITIES S.E;Holzstrasse 6, D;;40221 Düsseldorf (Alemania);Extranjero;;INT FR;DE192205313;;;www.eon.com;"
"R2-303;EDF TRADING LIMITED;80 Victoria Street, Cardinal Place;;Londres WC1V 6ED, Reino Unido;Extranjero;;N;GB735547907;;;www.edftrading.com;"
"R2-304;ELECTRICITÉ DE FRANCE;22-30 Avenue de Wagram;;75382 Paris Cedex 08 (Francia);Extranjero;;N;B552081317;;18/03/2013;;Baja"
"R2-305;ELEKTRIZITÄTS-GESSELLSCHAFT LAUFENBURG AG;Lezernstrasse 10;;CH 8953 Dietikon, Suiza;Extranjero;;INT FR;CH243039;;31/10/2018;;Baja"
"R2-306;ENBW TRADING GMBH;Durlacher Alle 93;;76131 Karlshure (Alemania);Extranjero;;N;DE190565239;;19/03/2013;;Baja"
"R2-307;ENDESA FRANCE;C/ RIBERA DEL LOIRA, Nº 60;;92565 Rueil-Malmaison (Francia);Extranjero;;N;FR399361468;;19/03/2013;;Baja"
