ES1545;;"CA Indosuez Wealth (Europe), Sucursal en España";Entidad de crédito;"Pº Castellana, 1, 28046, Madrid";No;LUB00331;"1545"
ES0038;95980020140005970915;"CACEIS Bank Spain, S.A.";Entidad de crédito;"PS CLUB DEPORTIVO, 1, 28223, POZUELO DE ALARCON";Sí;;"0038"
ES1451;;"Caisse Régionale de Crédit Agricole Mutuel Sud-Méditerranée (Ariège et Pyrénées-Orientales)";Entidad de crédito;"Cl Córcega, 301, 08008, Barcelona";No;FR17106;"1451"
ES1493;;"Caixa Banco de Investimento, S.A. Sucursal en España";Entidad de crédito;"Cl Caléndula, 93, 28109, ALCOBENDAS";No;PT25;"1493"
ES3025;5493007RT80TMKY7TO30;"Caixa de Crédit dels Enginyers- Caja de Crédito de los Ingenieros, S. Coop. de Crédito ";Entidad de crédito;"Via Laietana, 39, 08003, Barcelona";Sí;;"3025"
ES3159;95980020140005480677;"Caixa Popular-Caixa Rural, S. Coop. de Crédito V.";Entidad de crédito;"Av Juan de la Cierva, 9, 46980, Paterna (Valencia)";Sí;;"3159"
ES3045;635400AAPLXTJGKCMB39;"Caixa Rural Altea, Cooperativa de Crédito Valenciana";Entidad de crédito;"Pj Labrador, 1, 03590, Altea (Alicante)";No;;"3045"
ES3162;95980020140005418791;"Caixa Rural Benicarló, S. Coop. de Credit V.";Entidad de crédito;"Av Joan Carles I, 18, 12580, Benicarló (Castellón)";No;;"3162"
ES3117;95980020140005620357;"Caixa Rural D'Algemesí, S. Coop. V. de Crédit";Entidad de crédito;"Cl San José de Calasanz, 6, 46680, Algemesí (Valencia)";No;;"3117"
ES3105;635400Q3SPCPIHXXGR35;"Caixa Rural de Callosa d'en Sarrià, Cooperativa de Crédito Valenciana";Entidad de crédito;"Av Jaime I, 1, 03510, Callosa D'En Sarriá  (Alicante)";No;;"3105"
ES3096;95980020140005551293;"Caixa Rural de L'Alcudia, Sociedad Cooperativa Valenciana de  Crédito";Entidad de crédito;"Av Verge de L'Oreto 2, 46250, L'Alcudia (Valencia)";No;;"3096"
ES3123;6354007ZW5CLO6YHGK36;"Caixa Rural de Turís, Cooperativa de Crédito Valenciana";Entidad de crédito;"Pz Constitución, 2, 46389, Turis (Valencia)";No;;"3123"
ES3070;95980020140005488437;"Caixa Rural Galega, Sociedad Cooperativa de Crédito Limitada Gallega";Entidad de crédito;"Av de Montero Ríos, 24-26, 27002, Lugo";No;;"3070"
ES3111;95980020140005651785;"Caixa Rural La Vall 'San Isidro', Sociedad Cooperativa de Crédito Valenciana";Entidad de crédito;"Av Corazón de Jesús, 3, 12600, Vall de Uxó (Castellón)";No;;"3111"
ES3166;95980020140005621036;"Caixa Rural Les Coves de Vinromá, S. Coop. de Crédit V.";Entidad de crédito;"Cl San Antonio, 27, 12185, Les Coves de Vinroma (Castellón)";No;;"3166"
ES3160;635400J15IRJJXMI6M28;"Caixa Rural Sant Josep de Vilavella, S. Coop. de Crédito V.";Entidad de crédito;"Cl Cueva Santa, 11, 12526, Villavieja (Castellón)";No;;"3160"
ES3102;635400NY7IQMBTTK4D30;"Caixa Rural Sant Vicent Ferrer de La Vall D'Uixó, Coop. de Credit V.";Entidad de crédito;"Pz del Centro, 4, 12600, Vall de Uxó (Castellón)";No;;"3102"
